proxy_price,rounded_lowest_each_way_price,number_of_nights,is_sales_fare,arr_city_name,trip_type,dep_lpf_city_airport_display,dep_airport_name,rounded_lowest_price,lowest_price,dep_city_name,arrival_airport,arr_lpf_city_airport_display,arrival_city,departure_airport,cabin,region_code,arr_airport_name,currency_code,tier_points,tier_points_per_pound
N,103,7,N,Kos,RT,London (Gatwick),Gatwick,205,204.88,London,KGS,Kos,KGS,LGW,M,EUK,Kos,GBP,10.0,0.1
N,44,7,N,Krakow,RT,London (Heathrow),Heathrow,87,86.09,London,KRK,Krakow,KRK,LHR,M,EUK,Krakow,GBP,5.0,0.12
N,300,7,Y,Kuala Lumpur,RT,London (Heathrow),Heathrow,599,598.29,London,KUL,Kuala Lumpur,KUL,LHR,M,FEA,Kuala Lumpur,GBP,20.0,0.07
N,222,7,N,Kuwait,RT,London (Heathrow),Heathrow,443,442.39,London,KWI,Kuwait,KWI,LHR,M,MDE,Kuwait,GBP,20.0,0.09
N,378,7,N,Lagos,RT,London (Heathrow),Heathrow,755,754.69,London,LOS,Lagos,LOS,LHR,M,AFR,Lagos,GBP,20.0,0.05
N,53,7,N,Lanzarote,RT,London (Gatwick),Gatwick,106,105.48,London,ACE,Lanzarote,ACE,LGW,M,EUK,Arrecife,GBP,10.0,0.19
N,58,7,N,Larnaca,RT,London (Gatwick),Gatwick,116,115.38,London,LCA,Larnaca,LCA,LGW,M,EUK,Larnaca,GBP,10.0,0.17
N,234,7,Y,Las Vegas,RT,London (Gatwick),Gatwick,467,466.88,London,LAS,Las Vegas (Harry Reid Intl),LAS,LGW,M,NOA,Harry Reid Intl,GBP,20.0,0.09
N,46,7,N,Lisbon,RT,London (Heathrow),Heathrow,92,91.79,London,LIS,Lisbon,LIS,LHR,M,EUK,Lisbon,GBP,5.0,0.11
N,65,7,N,Ljubljana,RT,London (Heathrow),Heathrow,130,129.19,London,LJU,Ljubljana,LJU,LHR,M,EUK,Joze Pucnik,GBP,5.0,0.08
N,197,7,N,Los Angeles,RT,London (Heathrow),Heathrow,394,393.59,London,LAX,Los Angeles (Los Angeles International),LAX,LHR,M,NOA,Los Angeles International,GBP,20.0,0.1
N,31,7,N,Luxembourg,RT,London (Heathrow),Heathrow,62,61.79,London,LUX,Luxembourg,LUX,LHR,M,EUK,Luxembourg,GBP,5.0,0.16
N,41,7,N,Lyon,RT,London (Gatwick),Gatwick,81,80.88,London,LYS,Lyon (Saint Exupery),LYS,LGW,M,EUK,Saint Exupery,GBP,5.0,0.12
N,36,7,N,Madrid,RT,London (Heathrow),Heathrow,72,71.79,London,MAD,Madrid,MAD,LHR,M,EUK,Madrid,GBP,5.0,0.14
N,40,7,N,Malaga,RT,London (Heathrow),Heathrow,79,78.99,London,AGP,Malaga,AGP,LHR,M,EUK,Malaga,GBP,5.0,0.13
N,294,7,Y,Male,RT,London (Heathrow),Heathrow,587,586.29,London,MLE,Male (Male International),MLE,LHR,M,SAS,Male International,GBP,20.0,0.07
N,55,7,N,Malta,RT,London (Gatwick),Gatwick,109,108.08,London,MLA,Malta,MLA,LGW,M,EUK,Luqa International,GBP,10.0,0.19
N,36,7,N,Manchester,RT,London (Heathrow),Heathrow,72,71.52,London,MAN,Manchester,MAN,LHR,M,EUK,Manchester,GBP,5.0,0.14
N,52,7,N,Marrakech,RT,London (Gatwick),Gatwick,103,102.48,London,RAK,Marrakech,RAK,LGW,M,AFR,Marrakech,GBP,10.0,0.2
N,42,7,N,Marseille,RT,London (Heathrow),Heathrow,83,82.99,London,MRS,Marseille,MRS,LHR,M,EUK,Marseille,GBP,5.0,0.12
Y,294,7,Y,Mauritius,RT,London (Gatwick),Gatwick,587,586.88,London,MRU,Mauritius,MRU,LGW,M,AFR,Mauritius,GBP,20.0,0.07
N,38,7,N,Menorca,RT,London (Gatwick),Gatwick,76,75.48,London,MAH,Menorca,MAH,LGW,M,EUK,Menorca,GBP,5.0,0.13
N,359,7,N,Mexico City,RT,London (Heathrow),Heathrow,717,716.89,London,MEX,Mexico City (Mexico),MEX,LHR,M,SOA,Mexico,GBP,20.0,0.06
N,192,7,Y,Miami,RT,London (Heathrow),Heathrow,384,383.59,London,MIA,Miami (Miami International),MIA,LHR,M,NOA,Miami International,GBP,20.0,0.1
N,41,7,N,Milan,RT,London (Heathrow),Heathrow,81,80.79,London,MXP,Milan (Malpensa),MIL,LHR,M,EUK,Malpensa,GBP,5.0,0.12
N,45,7,N,Montpellier,RT,London (Gatwick),Gatwick,89,88.08,London,MPL,Montpellier,MPL,LGW,M,EUK,Montpellier,GBP,5.0,0.11
N,202,7,Y,Montreal,RT,London (Heathrow),Heathrow,403,402.99,London,YUL,Montreal,YMQ,LHR,M,NOA,Montreal,GBP,20.0,0.1
N,204,7,Y,Mumbai,RT,London (Heathrow),Heathrow,408,407.39,London,BOM,Mumbai,BOM,LHR,M,SAS,Chhatrapati Shivaji Maharaj Intl,GBP,20.0,0.1
N,49,7,N,Munich,RT,London (Heathrow),Heathrow,97,96.49,London,MUC,Munich,MUC,LHR,M,EUK,Munich,GBP,5.0,0.1
N,61,7,N,Mykonos,RT,London (Gatwick),Gatwick,122,121.68,London,JMK,Mykonos,JMK,LGW,M,EUK,Mykonos,GBP,10.0,0.16
N,269,7,Y,Nairobi,RT,London (Heathrow),Heathrow,537,536.69,London,NBO,Nairobi,NBO,LHR,M,AFR,Nairobi,GBP,20.0,0.07
N,45,7,N,Naples,RT,London (Heathrow),Heathrow,89,88.09,London,NAP,Naples,NAP,LHR,M,EUK,Naples,GBP,5.0,0.11
N,267,7,Y,Nashville,RT,London (Heathrow),Heathrow,534,533.59,London,BNA,Nashville,BNA,LHR,M,NOA,Nashville International,GBP,20.0,0.07
N,343,7,N,Nassau,RT,London (Heathrow),Heathrow,686,685.39,London,NAS,Nassau,NAS,LHR,M,SOA,Nassau,GBP,20.0,0.06
N,247,7,Y,New Orleans,RT,London (Heathrow),Heathrow,494,493.59,London,MSY,New Orleans,MSY,LHR,M,NOA,Louis Armstrong International,GBP,20.0,0.08
N,168,7,Y,New York,RT,London (Gatwick),Gatwick,335,334.88,London,JFK,New York (John F Kennedy),NYC,LGW,M,NOA,John F Kennedy,GBP,20.0,0.12
N,31,7,N,Newcastle,RT,London (Heathrow),Heathrow,62,61.41,London,NCL,Newcastle,NCL,LHR,M,EUK,Newcastle International,GBP,5.0,0.16
N,38,7,N,Nice,RT,London (Heathrow),Heathrow,75,74.59,London,NCE,Nice,NCE,LHR,M,EUK,Nice,GBP,5.0,0.13
N,54,7,N,Olbia,RT,London (Heathrow),Heathrow,108,107.69,London,OLB,Olbia,OLB,LHR,M,EUK,Olbia,GBP,5.0,0.09
N,175,7,Y,Orlando,RT,London (Gatwick),Gatwick,350,349.88,London,MCO,Orlando,ORL,LGW,M,NOA,Orlando International,GBP,20.0,0.11
