proxy_price,rounded_lowest_each_way_price,number_of_nights,is_sales_fare,arr_city_name,trip_type,dep_lpf_city_airport_display,dep_airport_name,rounded_lowest_price,lowest_price,dep_city_name,arrival_airport,arr_lpf_city_airport_display,arrival_city,departure_airport,cabin,region_code,arr_airport_name,currency_code,tier_points,tier_points_per_pound
N,224,6,N,Athens,RT,London (Heathrow),Heathrow,447,446.92,London,ATH,Athens,ATH,LHR,C,EUK,Athens,GBP,80.0,0.36
N,113,2,N,Hamburg,RT,London (Heathrow),Heathrow,226,225.12,London,HAM,Hamburg,HAM,LHR,C,EUK,Hamburg,GBP,40.0,0.36
N,224,2,N,Athens,RT,London (Heathrow),Heathrow,447,446.92,London,ATH,Athens,ATH,LHR,C,EUK,Athens,GBP,80.0,0.36
N,224,7,N,Athens,RT,London (Heathrow),Heathrow,447,446.92,London,ATH,Athens,ATH,LHR,C,EUK,Athens,GBP,80.0,0.36
N,111,6,N,Pisa,RT,London (Heathrow),Heathrow,222,221.82,London,PSA,Pisa,PSA,LHR,C,EUK,Pisa,GBP,40.0,0.36
N,112,2,N,Brussels,RT,London (Heathrow),Heathrow,223,222.22,London,BRU,Brussels,BRU,LHR,C,EUK,Brussels,GBP,40.0,0.36
N,221,1,N,Athens,RT,London (Heathrow),Heathrow,442,441.32,London,ATH,Athens,ATH,LHR,C,EUK,Athens,GBP,80.0,0.36
N,225,2,N,Lanzarote,RT,London (Gatwick),Gatwick,449,448.28,London,ACE,Lanzarote,ACE,LGW,C,EUK,Arrecife,GBP,80.0,0.36
N,225,4,N,Lanzarote,RT,London (Gatwick),Gatwick,449,448.28,London,ACE,Lanzarote,ACE,LGW,C,EUK,Arrecife,GBP,80.0,0.36
N,111,3,N,Brussels,RT,London (Heathrow),Heathrow,222,221.22,London,BRU,Brussels,BRU,LHR,C,EUK,Brussels,GBP,40.0,0.36
N,223,7,N,Mykonos,RT,London (City Airport),City Airport,445,444.99,London,JMK,Mykonos,JMK,LCY,C,EUK,Mykonos,GBP,80.0,0.36
N,225,5,N,Lanzarote,RT,London (Gatwick),Gatwick,449,448.28,London,ACE,Lanzarote,ACE,LGW,C,EUK,Arrecife,GBP,80.0,0.36
N,111,7,N,Brussels,RT,London (Heathrow),Heathrow,222,221.22,London,BRU,Brussels,BRU,LHR,C,EUK,Brussels,GBP,40.0,0.36
N,111,5,N,Brussels,RT,London (Heathrow),Heathrow,222,221.22,London,BRU,Brussels,BRU,LHR,C,EUK,Brussels,GBP,40.0,0.36
N,221,5,N,Mykonos,RT,London (City Airport),City Airport,442,441.99,London,JMK,Mykonos,JMK,LCY,C,EUK,Mykonos,GBP,80.0,0.36
