proxy_price,rounded_lowest_each_way_price,number_of_nights,is_sales_fare,arr_city_name,trip_type,dep_lpf_city_airport_display,dep_airport_name,rounded_lowest_price,lowest_price,dep_city_name,arrival_airport,arr_lpf_city_airport_display,arrival_city,departure_airport,cabin,region_code,arr_airport_name,currency_code
N,343,7,N,Nassau,RT,London (Heathrow),Heathrow,686,685.99,London,NAS,Nassau,NAS,LHR,M,SOA,Nassau,GBP
N,211,7,N,New Delhi,RT,London (Heathrow),Heathrow,421,420.99,London,DEL,New Delhi,DEL,LHR,M,SAS,Indira Gandhi Intl,GBP
N,313,7,N,New Orleans,RT,London (Heathrow),Heathrow,626,625.09,London,MSY,New Orleans,MSY,LHR,M,NOA,Louis Armstrong International,GBP
N,174,7,N,New York,RT,London (Gatwick),Gatwick,348,347.38,London,JFK,New York (John F Kennedy),NYC,LGW,M,NOA,John F Kennedy,GBP
N,31,7,N,Newcastle,RT,London (Heathrow),Heathrow,62,61.41,London,NCL,Newcastle,NCL,LHR,M,EUK,Newcastle International,GBP
N,38,7,N,Nice,RT,London (Heathrow),Heathrow,75,74.59,London,NCE,Nice,NCE,LHR,M,EUK,Nice,GBP
N,46,7,N,Nuremberg,RT,London (Heathrow),Heathrow,91,90.19,London,NUE,Nuremberg,NUE,LHR,M,EUK,Nuremberg,GBP
N,54,7,N,Olbia,RT,London (Heathrow),Heathrow,108,107.89,London,OLB,Olbia,OLB,LHR,M,EUK,Olbia,GBP
N,186,7,N,Orlando,RT,London (Gatwick),Gatwick,372,371.38,London,MCO,Orlando,ORL,LGW,M,NOA,Orlando International,GBP
N,37,7,N,Oslo,RT,London (Heathrow),Heathrow,73,72.59,London,OSL,Oslo,OSL,LHR,M,EUK,Oslo,GBP
N,64,7,N,Palermo,RT,London (Heathrow),Heathrow,128,127.19,London,PMO,Palermo,PMO,LHR,M,EUK,Palermo,GBP
N,37,7,N,Palma,RT,London (Gatwick),Gatwick,73,72.68,London,PMI,Palma,PMI,LGW,M,EUK,Palma,GBP
N,70,7,N,Paphos,RT,London (Heathrow),Heathrow,140,139.89,London,PFO,Paphos,PFO,LHR,M,EUK,Paphos,GBP
N,39,7,N,Paris,RT,London (Heathrow),Heathrow,78,77.59,London,CDG,Paris (Charles de Gaulle),PAR,LHR,M,EUK,Charles de Gaulle,GBP
N,58,7,N,Perugia,RT,London (Heathrow),Heathrow,116,115.09,London,PEG,Perugia,PEG,LHR,M,EUK,ST. Francis Of Assisi,GBP
N,234,7,N,Philadelphia,RT,London (Heathrow),Heathrow,467,466.09,London,PHL,Philadelphia,PHL,LHR,M,NOA,Philadelphia International,GBP
N,317,7,N,Phoenix,RT,London (Heathrow),Heathrow,633,632.09,London,PHX,Phoenix (Sky Harbor International),PHX,LHR,M,NOA,Sky Harbor International,GBP
N,36,7,N,Pisa,RT,London (Heathrow),Heathrow,72,71.69,London,PSA,Pisa,PSA,LHR,M,EUK,Pisa,GBP
